latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-38.19234,-69.09102,324.05,1.46,1.19,2025-07-01,0633,Aqua,MODIS,94,6.1NRT,266.37,0,N
-28.67633,-60.70647,328.67,4.61,1.97,2025-07-01,1353,Terra,MODIS,73,6.1NRT,281.45,264.83,D
-28.67549,-60.69942,326.73,4.61,1.97,2025-07-01,1353,Terra,MODIS,71,6.1NRT,281.73,243.8,D
-33.05622,-58.26151,316.06,1.86,1.33,2025-07-01,1834,Aqua,MODIS,66,6.1NRT,281.29,44.18,D
-28.24313,-58.40149,300.42,1.64,1.26,2025-07-01,1834,Aqua,MODIS,37,6.1NRT,284.2,13.07,D
-30.80358,-59.77122,305.82,2.2,1.44,2025-07-01,1834,Aqua,MODIS,47,6.1NRT,285.43,28.6,D
-30.91774,-59.89171,300.16,2.25,1.45,2025-07-01,1834,Aqua,MODIS,26,6.1NRT,285.33,18.18,D
-28.57882,-60.65504,301.36,2.38,1.49,2025-07-01,1834,Aqua,MODIS,46,6.1NRT,285.52,19.04,D
-28.58285,-60.6593,303.24,2.38,1.49,2025-07-01,1834,Aqua,MODIS,34,6.1NRT,285.45,20.39,D
-27.48932,-56.10077,328.71,1.17,1.08,2025-07-01,1834,Aqua,MODIS,86,6.1NRT,284.9,37.57,D
-27.49082,-56.11252,309.65,1.18,1.08,2025-07-01,1834,Aqua,MODIS,69,6.1NRT,284.62,14.78,D
-33.04979,-58.25761,301.94,1.86,1.33,2025-07-01,1834,Aqua,MODIS,47,6.1NRT,280.47,18.87,D
-30.75237,-60.21087,303.55,2.36,1.48,2025-07-01,1834,Aqua,MODIS,56,6.1NRT,287.48,24.04,D
-30.4494,-59.7248,303.37,2.16,1.43,2025-07-01,1834,Aqua,MODIS,0,6.1NRT,284.34,23.36,D
-30.38534,-59.87546,318.63,2.21,1.44,2025-07-01,1834,Aqua,MODIS,59,6.1NRT,286.11,58.92,D
-33.06168,-58.25606,300.06,1.86,1.33,2025-07-01,1834,Aqua,MODIS,17,6.1NRT,280.64,15.57,D
-29.97145,-57.49634,311.67,1.51,1.21,2025-07-01,1834,Aqua,MODIS,72,6.1NRT,282.98,23.49,D
-29.97874,-57.50206,305.14,1.51,1.21,2025-07-01,1834,Aqua,MODIS,52,6.1NRT,283.18,15.39,D
-30.02892,-59.38935,309.51,2.02,1.39,2025-07-01,1834,Aqua,MODIS,69,6.1NRT,284.71,32.44,D
-30.03092,-59.41005,342.36,2.03,1.39,2025-07-01,1834,Aqua,MODIS,93,6.1NRT,286.52,141.28,D
-29.46058,-57.15461,300.13,1.42,1.18,2025-07-01,1834,Aqua,MODIS,29,6.1NRT,282.22,10.42,D
-29.48883,-61.61458,302.29,2.86,1.61,2025-07-01,1834,Aqua,MODIS,52,6.1NRT,287.22,25.62,D
-29.31307,-60.77028,301.28,2.48,1.52,2025-07-01,1834,Aqua,MODIS,46,6.1NRT,285.63,22.15,D
-28.85088,-56.4793,304.1,1.27,1.12,2025-07-01,1834,Aqua,MODIS,38,6.1NRT,279.22,11.16,D
-28.85153,-56.48475,304.63,1.27,1.12,2025-07-01,1834,Aqua,MODIS,35,6.1NRT,280.1,11.55,D
-29.31889,-60.7748,300.58,2.48,1.52,2025-07-01,1834,Aqua,MODIS,39,6.1NRT,285.53,19.56,D
